city,lat,lng,population,density
Chino,33.9836,-117.6654,90279,1162.9
Germantown,39.1755,-77.2643,90235,2029.4
Dover,43.1887,-70.8845,89874,461.1
Bismarck,46.8143,-100.7694,89825,817.5
Waukegan,42.3698,-87.8716,89751,1389.0
Buckeye,33.4314,-112.6429,89711,73.2
Town 'n' Country,28.0106,-82.5763,89679,1569.2
Clifton,40.863,-74.1575,89460,2917.6
Bloomington,44.8306,-93.3151,89436,948.2
Mount Pleasant,32.8537,-79.8203,88900,697.0
Florence,34.178,-79.7898,88709,636.0
Newton,42.3316,-71.2085,88647,1912.8
State College,40.7909,-77.8567,88526,3567.5
Livermore,37.6868,-121.7607,88403,1339.7
Rapid City,44.0716,-103.2204,88076,540.1
Decatur,39.8557,-88.9342,88002,646.8
Dalton,34.769,-84.972,87944,612.1
Conroe,30.3238,-95.4824,87930,473.9
Hawthorne,33.9147,-118.3476,87863,5417.3
Lawrence,42.7002,-71.1626,87798,4458.5
New Braunfels,29.6994,-98.1148,87549,725.5
Citrus Heights,38.6948,-121.288,87521,2380.9
Jackson,42.2431,-84.4038,87230,1148.8
Whittier,33.9678,-118.0188,87184,2235.7
Muncie,40.1989,-85.395,87037,954.4
Troy,42.5817,-83.1457,86912,970.3
Homosassa Springs,28.8119,-82.5392,86578,223.5
Port Huron,42.9821,-82.4388,86440,1378.0
Napa,38.2975,-122.301,86130,1675.1
Deerfield Beach,26.305,-80.1277,86062,2087.9
Springdale,36.1901,-94.1574,85887,631.2
Newport Beach,33.6151,-117.8668,85806,1406.8
Anderson,40.0891,-85.6892,85700,505.6
San Ramon,37.7624,-121.9365,85688,1565.7
Lake Forest,33.6605,-117.6714,85516,1955.8
Mission,26.2039,-98.3256,85311,890.7
Auburn,47.3039,-122.2108,85306,1056.3
Brooklyn Park,45.1112,-93.3505,85247,1187.1
Bryan,30.665,-96.3807,85204,610.4
Springfield,39.93,-83.7959,85121,876.6
Hattiesburg,31.3074,-89.317,85086,332.4
Westland,42.3192,-83.3805,84961,1544.1
Cicero,41.8445,-87.7593,84905,5363.3
Albany,31.5776,-84.1762,84901,509.3
Fort Myers,26.6194,-81.8302,84694,809.2
Pine Hills,28.5818,-81.4692,84289,2577.7
Atascocita,29.9777,-95.1953,84222,1323.8
Buena Park,33.8572,-118.0046,83974,3015.2
Redwood City,37.5025,-122.2253,83905,1687.6
